# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "1" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "PD_131_R13_S1_1_cds.txt" "PD_131_R13_S1_1.bam" 
Geneid	Chr	Start	End	Strand	Length	PD_131_R13_S1_1.bam
b0001	NC_000913.3	190	255	+	66	42
b0002	NC_000913.3	337	2799	+	2463	2986
b0003	NC_000913.3	2801	3733	+	933	806
b0004	NC_000913.3	3734	5020	+	1287	1150
b0005	NC_000913.3	5234	5530	+	297	23
b0006	NC_000913.3	5683	6459	-	777	22
b0007	NC_000913.3	6529	7959	-	1431	97
b0008	NC_000913.3	8238	9191	+	954	4789
b0009	NC_000913.3	9306	9893	+	588	401
b0010	NC_000913.3	9928	10494	-	567	519
b0011	NC_000913.3	10643	11356	-	714	34
b0012	NC_000913.3	10830	11315	+	486	51
b0013	NC_000913.3	11382	11786	-	405	4
b0014	NC_000913.3	12163	14079	+	1917	24347
b0015	NC_000913.3	14168	15298	+	1131	5068
b0016	NC_000913.3	15445	16557	+	1113	2765
b0018	NC_000913.3	16751	16960	-	210	127
b4412	NC_000913.3	16751	16903	-	153	0
b0019	NC_000913.3	17489	18655	+	1167	812
b0020	NC_000913.3	18715	19620	+	906	197
b0021	NC_000913.3	19811	20314	-	504	58
b0022	NC_000913.3	20233	20508	-	276	72
b0023	NC_000913.3	20815	21078	-	264	30
b0024	NC_000913.3	21181	21399	+	219	171
b0025	NC_000913.3	21407	22348	+	942	725
b0026	NC_000913.3	22391	25207	+	2817	2784
b0027	NC_000913.3	25207	25701	+	495	403
b0028	NC_000913.3	25826	26275	+	450	373
b0029	NC_000913.3	26277	27227	+	951	713
b0030	NC_000913.3	27293	28207	+	915	21
b0031	NC_000913.3	28374	29195	+	822	146
b0032	NC_000913.3	29651	30799	+	1149	80
b0033	NC_000913.3	30817	34038	+	3222	347
b0034	NC_000913.3	34300	34695	+	396	76
b0035	NC_000913.3	34781	35371	-	591	267
b0036	NC_000913.3	35377	36162	-	786	261
b0037	NC_000913.3	36271	37824	-	1554	1371
b0038	NC_000913.3	37898	39115	-	1218	2044
b0039	NC_000913.3	39244	40386	-	1143	1664
b0040	NC_000913.3	40417	41931	-	1515	44
b0041	NC_000913.3	42403	43173	+	771	1735
b0042	NC_000913.3	43188	44129	+	942	1466
b0043	NC_000913.3	44180	45466	+	1287	1562
b0044	NC_000913.3	45463	45750	+	288	175
b0045	NC_000913.3	45807	47138	+	1332	586
b0046	NC_000913.3	47246	47776	+	531	57
b0047	NC_000913.3	47769	49631	+	1863	87
b0048	NC_000913.3	49823	50302	+	480	83
b0049	NC_000913.3	50380	51222	-	843	220
b0050	NC_000913.3	51229	51606	-	378	288
b0051	NC_000913.3	51609	52430	-	822	500
b0052	NC_000913.3	52427	53416	-	990	130
b0053	NC_000913.3	53416	54702	-	1287	354
b0054	NC_000913.3	54755	57109	-	2355	728
b0055	NC_000913.3	57364	58179	+	816	169
b0056	NC_000913.3	58474	59124	+	651	287
b0057	NC_000913.3	59121	59279	+	159	229
b0058	NC_000913.3	59687	60346	-	660	751
b0059	NC_000913.3	60358	63264	-	2907	2070
b0060	NC_000913.3	63429	65780	-	2352	257
b0061	NC_000913.3	65855	66550	-	696	2
b0062	NC_000913.3	66835	68337	-	1503	0
b0063	NC_000913.3	68348	70048	-	1701	0
b0064	NC_000913.3	70387	71265	+	879	210
