# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "1" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "PD_131_R12_S1_1_cds.txt" "PD_131_R12_S1_1.bam" 
Geneid	Chr	Start	End	Strand	Length	PD_131_R12_S1_1.bam
b0001	NC_000913.3	190	255	+	66	76
b0002	NC_000913.3	337	2799	+	2463	2963
b0003	NC_000913.3	2801	3733	+	933	955
b0004	NC_000913.3	3734	5020	+	1287	1183
b0005	NC_000913.3	5234	5530	+	297	34
b0006	NC_000913.3	5683	6459	-	777	24
b0007	NC_000913.3	6529	7959	-	1431	92
b0008	NC_000913.3	8238	9191	+	954	4577
b0009	NC_000913.3	9306	9893	+	588	369
b0010	NC_000913.3	9928	10494	-	567	459
b0011	NC_000913.3	10643	11356	-	714	35
b0012	NC_000913.3	10830	11315	+	486	41
b0013	NC_000913.3	11382	11786	-	405	7
b0014	NC_000913.3	12163	14079	+	1917	24449
b0015	NC_000913.3	14168	15298	+	1131	4801
b0016	NC_000913.3	15445	16557	+	1113	2452
b0018	NC_000913.3	16751	16960	-	210	125
b4412	NC_000913.3	16751	16903	-	153	0
b0019	NC_000913.3	17489	18655	+	1167	794
b0020	NC_000913.3	18715	19620	+	906	205
b0021	NC_000913.3	19811	20314	-	504	74
b0022	NC_000913.3	20233	20508	-	276	88
b0023	NC_000913.3	20815	21078	-	264	31
b0024	NC_000913.3	21181	21399	+	219	158
b0025	NC_000913.3	21407	22348	+	942	661
b0026	NC_000913.3	22391	25207	+	2817	2494
b0027	NC_000913.3	25207	25701	+	495	371
b0028	NC_000913.3	25826	26275	+	450	256
b0029	NC_000913.3	26277	27227	+	951	717
b0030	NC_000913.3	27293	28207	+	915	27
b0031	NC_000913.3	28374	29195	+	822	115
b0032	NC_000913.3	29651	30799	+	1149	64
b0033	NC_000913.3	30817	34038	+	3222	299
b0034	NC_000913.3	34300	34695	+	396	55
b0035	NC_000913.3	34781	35371	-	591	315
b0036	NC_000913.3	35377	36162	-	786	253
b0037	NC_000913.3	36271	37824	-	1554	1213
b0038	NC_000913.3	37898	39115	-	1218	1680
b0039	NC_000913.3	39244	40386	-	1143	1469
b0040	NC_000913.3	40417	41931	-	1515	38
b0041	NC_000913.3	42403	43173	+	771	1746
b0042	NC_000913.3	43188	44129	+	942	1410
b0043	NC_000913.3	44180	45466	+	1287	1604
b0044	NC_000913.3	45463	45750	+	288	149
b0045	NC_000913.3	45807	47138	+	1332	599
b0046	NC_000913.3	47246	47776	+	531	51
b0047	NC_000913.3	47769	49631	+	1863	79
b0048	NC_000913.3	49823	50302	+	480	58
b0049	NC_000913.3	50380	51222	-	843	224
b0050	NC_000913.3	51229	51606	-	378	238
b0051	NC_000913.3	51609	52430	-	822	493
b0052	NC_000913.3	52427	53416	-	990	122
b0053	NC_000913.3	53416	54702	-	1287	359
b0054	NC_000913.3	54755	57109	-	2355	799
b0055	NC_000913.3	57364	58179	+	816	182
b0056	NC_000913.3	58474	59124	+	651	333
b0057	NC_000913.3	59121	59279	+	159	204
b0058	NC_000913.3	59687	60346	-	660	687
b0059	NC_000913.3	60358	63264	-	2907	2143
b0060	NC_000913.3	63429	65780	-	2352	269
b0061	NC_000913.3	65855	66550	-	696	1
b0062	NC_000913.3	66835	68337	-	1503	0
b0063	NC_000913.3	68348	70048	-	1701	0
b0064	NC_000913.3	70387	71265	+	879	156
b0065	NC_000913.3	71351	72115	+	765	1820
b0066	NC_000913.3	72229	72927	-	699	15
b0067	NC_000913.3	72911	74521	-	1611	72
b0068	NC_000913.3	74497	75480	-	984	131
b0069	NC_000913.3	75644	77299	-	1656	1044
b4662	NC_000913.3	77388	77519	+	132	123
b0070	NC_000913.3	77621	78799	+	1179	69
b0071	NC_000913.3	78848	79453	-	606	450
b0072	NC_000913.3	79464	80864	-	1401	945
b0073	NC_000913.3	80867	81958	-	1092	718
b0074	NC_000913.3	81958	83529	-	1572	1051
b0075	NC_000913.3	83622	83708	-	87	19
b0076	NC_000913.3	84368	85312	+	945	2857
b4726	NC_000913.3	85467	85511	-	45	0
b0077	NC_000913.3	85630	87354	+	1725	292
b0078	NC_000913.3	87357	87848	+	492	228
b0080	NC_000913.3	88028	89032	+	1005	353
b0081	NC_000913.3	89634	90092	+	459	122
b0082	NC_000913.3	90094	91035	+	942	189
b0083	NC_000913.3	91032	91397	+	366	50
b0084	NC_000913.3	91413	93179	+	1767	228
b0085	NC_000913.3	93166	94653	+	1488	91
b0086	NC_000913.3	94650	96008	+	1359	91
b0087	NC_000913.3	96002	97084	+	1083	110
b0088	NC_000913.3	97087	98403	+	1317	137
b0089	NC_000913.3	98403	99647	+	1245	352
b0090	NC_000913.3	99644	100711	+	1068	400
b0091	NC_000913.3	100765	102240	+	1476	482
b0092	NC_000913.3	102233	103153	+	921	964
b0093	NC_000913.3	103155	103985	+	831	1107
b0094	NC_000913.3	103982	105244	+	1263	5140
b0095	NC_000913.3	105305	106456	+	1152	13619
b0096	NC_000913.3	106557	107474	+	918	108318
b0097	NC_000913.3	107705	108217	+	513	878
b0098	NC_000913.3	108279	110984	+	2706	3976
b0099	NC_000913.3	111044	111433	+	390	103
b0101	NC_000913.3	111649	111846	-	198	49
b0102	NC_000913.3	111856	112599	-	744	132
b0103	NC_000913.3	112599	113219	-	621	54
b4727	NC_000913.3	113244	113288	+	45	0
b0104	NC_000913.3	113444	114487	+	1044	90
b0106	NC_000913.3	114522	115724	-	1203	128
b0107	NC_000913.3	115714	117099	-	1386	440
b0108	NC_000913.3	117109	117549	-	441	0
b0109	NC_000913.3	117752	118645	-	894	75
b0110	NC_000913.3	118733	119284	+	552	182
b0111	NC_000913.3	119281	120135	+	855	133
b0112	NC_000913.3	120178	121551	-	1374	581
b0113	NC_000913.3	122092	122856	+	765	11161
b0114	NC_000913.3	123017	125680	+	2664	81430
b0115	NC_000913.3	125695	127587	+	1893	36232
b0116	NC_000913.3	127912	129336	+	1425	24996
b0117	NC_000913.3	129407	131260	-	1854	21
b0118	NC_000913.3	131615	134212	+	2598	7947
b0119	NC_000913.3	134388	134750	+	363	184
b0120	NC_000913.3	134788	135582	-	795	62
b0121	NC_000913.3	135598	136464	-	867	39
b0122	NC_000913.3	136570	136917	-	348	21
b0123	NC_000913.3	137083	138633	+	1551	247
b0124	NC_000913.3	138835	141225	-	2391	1928
b0125	NC_000913.3	141431	141967	+	537	112
b0126	NC_000913.3	142008	142670	-	663	93
b0127	NC_000913.3	142779	143705	+	927	174
b0128	NC_000913.3	143702	144472	+	771	241
b0129	NC_000913.3	144577	145017	+	441	41
b0130	NC_000913.3	145081	146310	+	1230	359
b0131	NC_000913.3	146314	146694	-	381	15
b0132	NC_000913.3	146968	147870	+	903	71
b0133	NC_000913.3	147944	148795	-	852	361
b0134	NC_000913.3	148807	149601	-	795	274
b0135	NC_000913.3	149715	150953	-	1239	653
b0136	NC_000913.3	151003	151599	-	597	198
b0137	NC_000913.3	151626	152231	-	606	132
b0138	NC_000913.3	152243	152812	-	570	111
b0139	NC_000913.3	152829	155426	-	2598	376
b0140	NC_000913.3	155461	156201	-	741	88
b0141	NC_000913.3	156299	156883	-	585	25
b0142	NC_000913.3	157253	157732	-	480	3
b0143	NC_000913.3	157729	159126	-	1398	38
b0144	NC_000913.3	159186	160112	-	927	31
b0145	NC_000913.3	160149	160604	-	456	542
b0146	NC_000913.3	160782	161486	-	705	51
b0147	NC_000913.3	161501	162031	-	531	4
b0148	NC_000913.3	162105	164534	+	2430	563
b0149	NC_000913.3	164730	167264	+	2535	426
b0150	NC_000913.3	167484	169727	+	2244	0
b0151	NC_000913.3	169778	170575	+	798	38
b0152	NC_000913.3	170575	171465	+	891	17
b0153	NC_000913.3	171462	173444	+	1983	22
b0154	NC_000913.3	173602	174882	-	1281	441
b0155	NC_000913.3	175107	176528	+	1422	2761
b4728	NC_000913.3	176552	176617	+	66	9
b0156	NC_000913.3	176610	176954	+	345	2516
b0157	NC_000913.3	177001	177624	-	624	49
b0158	NC_000913.3	177662	178462	-	801	86
b0159	NC_000913.3	178455	179153	-	699	722
b0160	NC_000913.3	179237	180754	+	1518	275
b0161	NC_000913.3	180884	182308	+	1425	366
b0162	NC_000913.3	182463	183620	+	1158	23
b0163	NC_000913.3	183709	184095	-	387	154
b0164	NC_000913.3	184257	185069	-	813	27
b0166	NC_000913.3	185123	185947	-	825	684
b0167	NC_000913.3	185978	188650	-	2673	1684
b0168	NC_000913.3	188712	189506	-	795	1444
b0169	NC_000913.3	189874	190599	+	726	1043
b0170	NC_000913.3	190857	191708	+	852	201
b0171	NC_000913.3	191855	192580	+	726	235
b0172	NC_000913.3	192872	193429	+	558	315
b0173	NC_000913.3	193521	194717	+	1197	321
b0174	NC_000913.3	194903	195664	+	762	365
b0175	NC_000913.3	195677	196534	+	858	732
b0176	NC_000913.3	196546	197898	+	1353	1905
b0177	NC_000913.3	197928	200360	+	2433	5137
b0178	NC_000913.3	200482	200967	+	486	1279
b0179	NC_000913.3	200971	201996	+	1026	4165
b0180	NC_000913.3	202101	202556	+	456	576
b0181	NC_000913.3	202560	203348	+	789	688
b0182	NC_000913.3	203348	204496	+	1149	1127
b0183	NC_000913.3	204493	205089	+	597	424
b0184	NC_000913.3	205126	208608	+	3483	2165
b0185	NC_000913.3	208621	209580	+	960	965
b0186	NC_000913.3	209679	211820	+	2142	228
b0187	NC_000913.3	211877	212266	+	390	67
b0188	NC_000913.3	212331	213629	+	1299	71
b0189	NC_000913.3	213678	213932	-	255	399
b4406	NC_000913.3	213925	214125	-	201	393
b0190	NC_000913.3	214291	214836	+	546	144
b0191	NC_000913.3	214833	215255	+	423	150
b0192	NC_000913.3	215269	215979	+	711	402
b0193	NC_000913.3	216179	217003	-	825	53
b0194	NC_000913.3	217057	218775	-	1719	556
b0195	NC_000913.3	218887	219594	-	708	191
b0196	NC_000913.3	219591	219995	-	405	181
b0197	NC_000913.3	220113	220928	-	816	6958
b0198	NC_000913.3	220968	221621	-	654	4526
b0199	NC_000913.3	221614	222645	-	1032	7415
