# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "1" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "PD_131_R10_S2_1_cds.txt" "PD_131_R10_S2_1.bam" 
Geneid	Chr	Start	End	Strand	Length	PD_131_R10_S2_1.bam
b0001	NC_000913.3	190	255	+	66	1095
b0002	NC_000913.3	337	2799	+	2463	2611
b0003	NC_000913.3	2801	3733	+	933	2120
b0004	NC_000913.3	3734	5020	+	1287	2861
b0005	NC_000913.3	5234	5530	+	297	42
b0006	NC_000913.3	5683	6459	-	777	196
b0007	NC_000913.3	6529	7959	-	1431	264
b0008	NC_000913.3	8238	9191	+	954	4944
b0009	NC_000913.3	9306	9893	+	588	115
b0010	NC_000913.3	9928	10494	-	567	803
b0011	NC_000913.3	10643	11356	-	714	56
b0012	NC_000913.3	10830	11315	+	486	1
b0013	NC_000913.3	11382	11786	-	405	6
b0014	NC_000913.3	12163	14079	+	1917	15072
b0015	NC_000913.3	14168	15298	+	1131	1579
b0016	NC_000913.3	15445	16557	+	1113	386
b0018	NC_000913.3	16751	16960	-	210	177
b4412	NC_000913.3	16751	16903	-	153	0
b0019	NC_000913.3	17489	18655	+	1167	7567
b0020	NC_000913.3	18715	19620	+	906	779
b0021	NC_000913.3	19811	20314	-	504	21
b0022	NC_000913.3	20233	20508	-	276	110
b0023	NC_000913.3	20815	21078	-	264	3535
b0024	NC_000913.3	21181	21399	+	219	158
b0025	NC_000913.3	21407	22348	+	942	2510
b0026	NC_000913.3	22391	25207	+	2817	7689
b0027	NC_000913.3	25207	25701	+	495	1435
b0028	NC_000913.3	25826	26275	+	450	835
b0029	NC_000913.3	26277	27227	+	951	1228
b0030	NC_000913.3	27293	28207	+	915	142
b0031	NC_000913.3	28374	29195	+	822	747
b0032	NC_000913.3	29651	30799	+	1149	1066
b0033	NC_000913.3	30817	34038	+	3222	5527
b0034	NC_000913.3	34300	34695	+	396	83
b0035	NC_000913.3	34781	35371	-	591	9
b0036	NC_000913.3	35377	36162	-	786	4
b0037	NC_000913.3	36271	37824	-	1554	45
b0038	NC_000913.3	37898	39115	-	1218	35
b0039	NC_000913.3	39244	40386	-	1143	107
b0040	NC_000913.3	40417	41931	-	1515	22
b0041	NC_000913.3	42403	43173	+	771	5
b0042	NC_000913.3	43188	44129	+	942	7
b0043	NC_000913.3	44180	45466	+	1287	11
b0044	NC_000913.3	45463	45750	+	288	1
b0045	NC_000913.3	45807	47138	+	1332	15
b0046	NC_000913.3	47246	47776	+	531	129
b0047	NC_000913.3	47769	49631	+	1863	293
b0048	NC_000913.3	49823	50302	+	480	664
b0049	NC_000913.3	50380	51222	-	843	717
b0050	NC_000913.3	51229	51606	-	378	1241
b0051	NC_000913.3	51609	52430	-	822	1670
b0052	NC_000913.3	52427	53416	-	990	1146
b0053	NC_000913.3	53416	54702	-	1287	3588
b0054	NC_000913.3	54755	57109	-	2355	7267
b0055	NC_000913.3	57364	58179	+	816	302
b0056	NC_000913.3	58474	59124	+	651	433
b0057	NC_000913.3	59121	59279	+	159	324
b0058	NC_000913.3	59687	60346	-	660	593
b0059	NC_000913.3	60358	63264	-	2907	1447
b0060	NC_000913.3	63429	65780	-	2352	860
b0061	NC_000913.3	65855	66550	-	696	0
b0062	NC_000913.3	66835	68337	-	1503	0
b0063	NC_000913.3	68348	70048	-	1701	0
b0064	NC_000913.3	70387	71265	+	879	460
b0065	NC_000913.3	71351	72115	+	765	601
b0066	NC_000913.3	72229	72927	-	699	27
b0067	NC_000913.3	72911	74521	-	1611	44
b0068	NC_000913.3	74497	75480	-	984	48
b0069	NC_000913.3	75644	77299	-	1656	287
b4662	NC_000913.3	77388	77519	+	132	589
b0070	NC_000913.3	77621	78799	+	1179	409
b0071	NC_000913.3	78848	79453	-	606	3340
b0072	NC_000913.3	79464	80864	-	1401	10905
b0073	NC_000913.3	80867	81958	-	1092	9935
b0074	NC_000913.3	81958	83529	-	1572	10187
b0075	NC_000913.3	83622	83708	-	87	428
b0076	NC_000913.3	84368	85312	+	945	77
b4726	NC_000913.3	85467	85511	-	45	0
b0077	NC_000913.3	85630	87354	+	1725	1478
b0078	NC_000913.3	87357	87848	+	492	977
b0080	NC_000913.3	88028	89032	+	1005	995
b0081	NC_000913.3	89634	90092	+	459	1372
b0082	NC_000913.3	90094	91035	+	942	1803
b0083	NC_000913.3	91032	91397	+	366	575
b0084	NC_000913.3	91413	93179	+	1767	1739
b0085	NC_000913.3	93166	94653	+	1488	1758
b0086	NC_000913.3	94650	96008	+	1359	1370
b0087	NC_000913.3	96002	97084	+	1083	1668
b0088	NC_000913.3	97087	98403	+	1317	1273
b0089	NC_000913.3	98403	99647	+	1245	1455
b0090	NC_000913.3	99644	100711	+	1068	1264
b0091	NC_000913.3	100765	102240	+	1476	1575
b0092	NC_000913.3	102233	103153	+	921	2301
b0093	NC_000913.3	103155	103985	+	831	2195
b0094	NC_000913.3	103982	105244	+	1263	2467
b0095	NC_000913.3	105305	106456	+	1152	4074
