# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "8" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "PD_132_R13_S2_1_cds.txt" "PD_132_R13_S2_1.bam" 
Geneid	Chr	Start	End	Strand	Length	PD_132_R13_S2_1.bam
b0001	NC_000913.3	190	255	+	66	1
b0002	NC_000913.3	337	2799	+	2463	253
b0003	NC_000913.3	2801	3733	+	933	83
b0004	NC_000913.3	3734	5020	+	1287	71
b0005	NC_000913.3	5234	5530	+	297	6
b0006	NC_000913.3	5683	6459	-	777	14
b0007	NC_000913.3	6529	7959	-	1431	43
b0008	NC_000913.3	8238	9191	+	954	1277
b0009	NC_000913.3	9306	9893	+	588	82
b0010	NC_000913.3	9928	10494	-	567	82
b0011	NC_000913.3	10643	11356	-	714	4
b0012	NC_000913.3	10830	11315	+	486	8
b0013	NC_000913.3	11382	11786	-	405	0
b0014	NC_000913.3	12163	14079	+	1917	11200
b0015	NC_000913.3	14168	15298	+	1131	1122
b0016	NC_000913.3	15445	16557	+	1113	388
b0018	NC_000913.3	16751	16960	-	210	158
b4412	NC_000913.3	16751	16903	-	153	0
b0019	NC_000913.3	17489	18655	+	1167	498
b0020	NC_000913.3	18715	19620	+	906	43
b0021	NC_000913.3	19811	20314	-	504	6
b0022	NC_000913.3	20233	20508	-	276	2
b0023	NC_000913.3	20815	21078	-	264	33
b0024	NC_000913.3	21181	21399	+	219	15
b0025	NC_000913.3	21407	22348	+	942	83
b0026	NC_000913.3	22391	25207	+	2817	320
b0027	NC_000913.3	25207	25701	+	495	87
b0028	NC_000913.3	25826	26275	+	450	22
b0029	NC_000913.3	26277	27227	+	951	42
b0030	NC_000913.3	27293	28207	+	915	0
b0031	NC_000913.3	28374	29195	+	822	23
b0032	NC_000913.3	29651	30799	+	1149	33
b0033	NC_000913.3	30817	34038	+	3222	82
b0034	NC_000913.3	34300	34695	+	396	63
b0035	NC_000913.3	34781	35371	-	591	58
b0036	NC_000913.3	35377	36162	-	786	42
b0037	NC_000913.3	36271	37824	-	1554	116
b0038	NC_000913.3	37898	39115	-	1218	221
b0039	NC_000913.3	39244	40386	-	1143	418
b0040	NC_000913.3	40417	41931	-	1515	8
b0041	NC_000913.3	42403	43173	+	771	95
b0042	NC_000913.3	43188	44129	+	942	72
b0043	NC_000913.3	44180	45466	+	1287	33
b0044	NC_000913.3	45463	45750	+	288	3
b0045	NC_000913.3	45807	47138	+	1332	24
b0046	NC_000913.3	47246	47776	+	531	3
b0047	NC_000913.3	47769	49631	+	1863	5
b0048	NC_000913.3	49823	50302	+	480	73
b0049	NC_000913.3	50380	51222	-	843	40
b0050	NC_000913.3	51229	51606	-	378	68
b0051	NC_000913.3	51609	52430	-	822	178
b0052	NC_000913.3	52427	53416	-	990	34
b0053	NC_000913.3	53416	54702	-	1287	85
b0054	NC_000913.3	54755	57109	-	2355	146
b0055	NC_000913.3	57364	58179	+	816	31
b0056	NC_000913.3	58474	59124	+	651	75
b0057	NC_000913.3	59121	59279	+	159	60
b0058	NC_000913.3	59687	60346	-	660	227
b0059	NC_000913.3	60358	63264	-	2907	202
b0060	NC_000913.3	63429	65780	-	2352	57
b0061	NC_000913.3	65855	66550	-	696	0
b0062	NC_000913.3	66835	68337	-	1503	0
b0063	NC_000913.3	68348	70048	-	1701	1
b0064	NC_000913.3	70387	71265	+	879	56
b0065	NC_000913.3	71351	72115	+	765	2260
b0066	NC_000913.3	72229	72927	-	699	4
b0067	NC_000913.3	72911	74521	-	1611	21
b0068	NC_000913.3	74497	75480	-	984	16
b0069	NC_000913.3	75644	77299	-	1656	250
b4662	NC_000913.3	77388	77519	+	132	312
b0070	NC_000913.3	77621	78799	+	1179	25
b0071	NC_000913.3	78848	79453	-	606	30
b0072	NC_000913.3	79464	80864	-	1401	72
b0073	NC_000913.3	80867	81958	-	1092	66
b0074	NC_000913.3	81958	83529	-	1572	99
b0075	NC_000913.3	83622	83708	-	87	1
b0076	NC_000913.3	84368	85312	+	945	274
b4726	NC_000913.3	85467	85511	-	45	0
b0077	NC_000913.3	85630	87354	+	1725	37
b0078	NC_000913.3	87357	87848	+	492	25
b0080	NC_000913.3	88028	89032	+	1005	56
b0081	NC_000913.3	89634	90092	+	459	20
b0082	NC_000913.3	90094	91035	+	942	23
b0083	NC_000913.3	91032	91397	+	366	3
