# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "8" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "PD_132_R13_S1_1_cds.txt" "PD_132_R13_S1_1.bam" 
Geneid	Chr	Start	End	Strand	Length	PD_132_R13_S1_1.bam
b0001	NC_000913.3	190	255	+	66	3
b0002	NC_000913.3	337	2799	+	2463	212
b0003	NC_000913.3	2801	3733	+	933	89
b0004	NC_000913.3	3734	5020	+	1287	56
b0005	NC_000913.3	5234	5530	+	297	5
b0006	NC_000913.3	5683	6459	-	777	9
b0007	NC_000913.3	6529	7959	-	1431	35
b0008	NC_000913.3	8238	9191	+	954	1059
b0009	NC_000913.3	9306	9893	+	588	109
b0010	NC_000913.3	9928	10494	-	567	74
b0011	NC_000913.3	10643	11356	-	714	8
b0012	NC_000913.3	10830	11315	+	486	6
b0013	NC_000913.3	11382	11786	-	405	1
b0014	NC_000913.3	12163	14079	+	1917	9912
b0015	NC_000913.3	14168	15298	+	1131	1036
b0016	NC_000913.3	15445	16557	+	1113	373
b0018	NC_000913.3	16751	16960	-	210	155
b4412	NC_000913.3	16751	16903	-	153	0
b0019	NC_000913.3	17489	18655	+	1167	398
b0020	NC_000913.3	18715	19620	+	906	30
b0021	NC_000913.3	19811	20314	-	504	5
b0022	NC_000913.3	20233	20508	-	276	3
b0023	NC_000913.3	20815	21078	-	264	44
b0024	NC_000913.3	21181	21399	+	219	13
b0025	NC_000913.3	21407	22348	+	942	75
b0026	NC_000913.3	22391	25207	+	2817	294
b0027	NC_000913.3	25207	25701	+	495	100
b0028	NC_000913.3	25826	26275	+	450	16
b0029	NC_000913.3	26277	27227	+	951	61
b0030	NC_000913.3	27293	28207	+	915	2
b0031	NC_000913.3	28374	29195	+	822	28
b0032	NC_000913.3	29651	30799	+	1149	25
b0033	NC_000913.3	30817	34038	+	3222	55
b0034	NC_000913.3	34300	34695	+	396	67
b0035	NC_000913.3	34781	35371	-	591	49
b0036	NC_000913.3	35377	36162	-	786	49
b0037	NC_000913.3	36271	37824	-	1554	91
b0038	NC_000913.3	37898	39115	-	1218	192
b0039	NC_000913.3	39244	40386	-	1143	420
b0040	NC_000913.3	40417	41931	-	1515	11
b0041	NC_000913.3	42403	43173	+	771	87
b0042	NC_000913.3	43188	44129	+	942	43
b0043	NC_000913.3	44180	45466	+	1287	39
b0044	NC_000913.3	45463	45750	+	288	10
b0045	NC_000913.3	45807	47138	+	1332	20
b0046	NC_000913.3	47246	47776	+	531	4
b0047	NC_000913.3	47769	49631	+	1863	5
b0048	NC_000913.3	49823	50302	+	480	42
b0049	NC_000913.3	50380	51222	-	843	42
b0050	NC_000913.3	51229	51606	-	378	102
b0051	NC_000913.3	51609	52430	-	822	182
b0052	NC_000913.3	52427	53416	-	990	33
b0053	NC_000913.3	53416	54702	-	1287	81
b0054	NC_000913.3	54755	57109	-	2355	168
b0055	NC_000913.3	57364	58179	+	816	51
b0056	NC_000913.3	58474	59124	+	651	44
b0057	NC_000913.3	59121	59279	+	159	42
b0058	NC_000913.3	59687	60346	-	660	221
b0059	NC_000913.3	60358	63264	-	2907	238
b0060	NC_000913.3	63429	65780	-	2352	47
b0061	NC_000913.3	65855	66550	-	696	0
b0062	NC_000913.3	66835	68337	-	1503	0
b0063	NC_000913.3	68348	70048	-	1701	0
b0064	NC_000913.3	70387	71265	+	879	39
b0065	NC_000913.3	71351	72115	+	765	2212
b0066	NC_000913.3	72229	72927	-	699	5
b0067	NC_000913.3	72911	74521	-	1611	18
b0068	NC_000913.3	74497	75480	-	984	27
b0069	NC_000913.3	75644	77299	-	1656	225
b4662	NC_000913.3	77388	77519	+	132	407
b0070	NC_000913.3	77621	78799	+	1179	19
b0071	NC_000913.3	78848	79453	-	606	54
b0072	NC_000913.3	79464	80864	-	1401	81
b0073	NC_000913.3	80867	81958	-	1092	64
b0074	NC_000913.3	81958	83529	-	1572	103
b0075	NC_000913.3	83622	83708	-	87	1
b0076	NC_000913.3	84368	85312	+	945	279
b4726	NC_000913.3	85467	85511	-	45	0
b0077	NC_000913.3	85630	87354	+	1725	33
b0078	NC_000913.3	87357	87848	+	492	25
b0080	NC_000913.3	88028	89032	+	1005	46
b0081	NC_000913.3	89634	90092	+	459	27
b0082	NC_000913.3	90094	91035	+	942	18
b0083	NC_000913.3	91032	91397	+	366	9
b0084	NC_000913.3	91413	93179	+	1767	18
b0085	NC_000913.3	93166	94653	+	1488	10
b0086	NC_000913.3	94650	96008	+	1359	7
b0087	NC_000913.3	96002	97084	+	1083	8
b0088	NC_000913.3	97087	98403	+	1317	6
b0089	NC_000913.3	98403	99647	+	1245	30
b0090	NC_000913.3	99644	100711	+	1068	17
b0091	NC_000913.3	100765	102240	+	1476	11
b0092	NC_000913.3	102233	103153	+	921	29
b0093	NC_000913.3	103155	103985	+	831	52
b0094	NC_000913.3	103982	105244	+	1263	328
b0095	NC_000913.3	105305	106456	+	1152	1007
b0096	NC_000913.3	106557	107474	+	918	182355
b0097	NC_000913.3	107705	108217	+	513	157
b0098	NC_000913.3	108279	110984	+	2706	366
b0099	NC_000913.3	111044	111433	+	390	28
b0101	NC_000913.3	111649	111846	-	198	5
b0102	NC_000913.3	111856	112599	-	744	36
b0103	NC_000913.3	112599	113219	-	621	20
b4727	NC_000913.3	113244	113288	+	45	0
b0104	NC_000913.3	113444	114487	+	1044	26
b0106	NC_000913.3	114522	115724	-	1203	25
b0107	NC_000913.3	115714	117099	-	1386	62
b0108	NC_000913.3	117109	117549	-	441	3
b0109	NC_000913.3	117752	118645	-	894	14
b0110	NC_000913.3	118733	119284	+	552	30
b0111	NC_000913.3	119281	120135	+	855	28
b0112	NC_000913.3	120178	121551	-	1374	147
b0113	NC_000913.3	122092	122856	+	765	1485
b0114	NC_000913.3	123017	125680	+	2664	6520
b0115	NC_000913.3	125695	127587	+	1893	3602
b0116	NC_000913.3	127912	129336	+	1425	1721
b0117	NC_000913.3	129407	131260	-	1854	14
b0118	NC_000913.3	131615	134212	+	2598	898
b0119	NC_000913.3	134388	134750	+	363	105
b0120	NC_000913.3	134788	135582	-	795	37
b0121	NC_000913.3	135598	136464	-	867	36
b0122	NC_000913.3	136570	136917	-	348	12
b0123	NC_000913.3	137083	138633	+	1551	95
b0124	NC_000913.3	138835	141225	-	2391	394
b0125	NC_000913.3	141431	141967	+	537	20
b0126	NC_000913.3	142008	142670	-	663	19
b0127	NC_000913.3	142779	143705	+	927	48
b0128	NC_000913.3	143702	144472	+	771	125
b0129	NC_000913.3	144577	145017	+	441	6
b0130	NC_000913.3	145081	146310	+	1230	64
b0131	NC_000913.3	146314	146694	-	381	31
b0132	NC_000913.3	146968	147870	+	903	28
b0133	NC_000913.3	147944	148795	-	852	89
b0134	NC_000913.3	148807	149601	-	795	63
b0135	NC_000913.3	149715	150953	-	1239	93
b0136	NC_000913.3	151003	151599	-	597	47
b0137	NC_000913.3	151626	152231	-	606	26
b0138	NC_000913.3	152243	152812	-	570	30
b0139	NC_000913.3	152829	155426	-	2598	81
b0140	NC_000913.3	155461	156201	-	741	15
b0141	NC_000913.3	156299	156883	-	585	2
b0142	NC_000913.3	157253	157732	-	480	1
b0143	NC_000913.3	157729	159126	-	1398	23
b0144	NC_000913.3	159186	160112	-	927	12
b0145	NC_000913.3	160149	160604	-	456	180
b0146	NC_000913.3	160782	161486	-	705	35
b0147	NC_000913.3	161501	162031	-	531	1
b0148	NC_000913.3	162105	164534	+	2430	133
b0149	NC_000913.3	164730	167264	+	2535	105
b0150	NC_000913.3	167484	169727	+	2244	0
b0151	NC_000913.3	169778	170575	+	798	8
b0152	NC_000913.3	170575	171465	+	891	4
b0153	NC_000913.3	171462	173444	+	1983	8
b0154	NC_000913.3	173602	174882	-	1281	659
b0155	NC_000913.3	175107	176528	+	1422	417
b4728	NC_000913.3	176552	176617	+	66	0
b0156	NC_000913.3	176610	176954	+	345	422
b0157	NC_000913.3	177001	177624	-	624	19
b0158	NC_000913.3	177662	178462	-	801	15
b0159	NC_000913.3	178455	179153	-	699	182
b0160	NC_000913.3	179237	180754	+	1518	34
b0161	NC_000913.3	180884	182308	+	1425	81
b0162	NC_000913.3	182463	183620	+	1158	11
b0163	NC_000913.3	183709	184095	-	387	83
b0164	NC_000913.3	184257	185069	-	813	17
b0166	NC_000913.3	185123	185947	-	825	80
b0167	NC_000913.3	185978	188650	-	2673	204
b0168	NC_000913.3	188712	189506	-	795	302
b0169	NC_000913.3	189874	190599	+	726	348
b0170	NC_000913.3	190857	191708	+	852	67
b0171	NC_000913.3	191855	192580	+	726	66
b0172	NC_000913.3	192872	193429	+	558	145
b0173	NC_000913.3	193521	194717	+	1197	119
b0174	NC_000913.3	194903	195664	+	762	30
b0175	NC_000913.3	195677	196534	+	858	93
b0176	NC_000913.3	196546	197898	+	1353	138
b0177	NC_000913.3	197928	200360	+	2433	334
b0178	NC_000913.3	200482	200967	+	486	188
b0179	NC_000913.3	200971	201996	+	1026	578
b0180	NC_000913.3	202101	202556	+	456	65
b0181	NC_000913.3	202560	203348	+	789	83
