# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "8" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "PD_132_R11_S1_1_cds.txt" "PD_132_R11_S1_1.bam" 
Geneid	Chr	Start	End	Strand	Length	PD_132_R11_S1_1.bam
b0001	NC_000913.3	190	255	+	66	2
b0002	NC_000913.3	337	2799	+	2463	350
b0003	NC_000913.3	2801	3733	+	933	86
b0004	NC_000913.3	3734	5020	+	1287	55
b0005	NC_000913.3	5234	5530	+	297	6
b0006	NC_000913.3	5683	6459	-	777	11
b0007	NC_000913.3	6529	7959	-	1431	43
b0008	NC_000913.3	8238	9191	+	954	1331
b0009	NC_000913.3	9306	9893	+	588	110
b0010	NC_000913.3	9928	10494	-	567	95
b0011	NC_000913.3	10643	11356	-	714	6
b0012	NC_000913.3	10830	11315	+	486	8
b0013	NC_000913.3	11382	11786	-	405	0
b0014	NC_000913.3	12163	14079	+	1917	17028
b0015	NC_000913.3	14168	15298	+	1131	1696
b0016	NC_000913.3	15445	16557	+	1113	638
b0018	NC_000913.3	16751	16960	-	210	186
b4412	NC_000913.3	16751	16903	-	153	0
b0019	NC_000913.3	17489	18655	+	1167	390
b0020	NC_000913.3	18715	19620	+	906	33
b0021	NC_000913.3	19811	20314	-	504	1
b0022	NC_000913.3	20233	20508	-	276	8
b0023	NC_000913.3	20815	21078	-	264	28
b0024	NC_000913.3	21181	21399	+	219	16
b0025	NC_000913.3	21407	22348	+	942	78
b0026	NC_000913.3	22391	25207	+	2817	351
b0027	NC_000913.3	25207	25701	+	495	95
b0028	NC_000913.3	25826	26275	+	450	38
b0029	NC_000913.3	26277	27227	+	951	67
b0030	NC_000913.3	27293	28207	+	915	0
b0031	NC_000913.3	28374	29195	+	822	20
b0032	NC_000913.3	29651	30799	+	1149	25
b0033	NC_000913.3	30817	34038	+	3222	52
b0034	NC_000913.3	34300	34695	+	396	59
b0035	NC_000913.3	34781	35371	-	591	83
b0036	NC_000913.3	35377	36162	-	786	70
b0037	NC_000913.3	36271	37824	-	1554	133
b0038	NC_000913.3	37898	39115	-	1218	236
b0039	NC_000913.3	39244	40386	-	1143	441
b0040	NC_000913.3	40417	41931	-	1515	11
